"共有model数","item_name 中文","model_name 中文","目标价","model_image_susercontent","product_link","L2 中文","L3 中文","邀请码","model_id","final_1688_link","price judge","展示日期","item_id","item下最高价","特殊tag","日均销售额","日均单量","asp_tag_by_l1"
"1","【ZEEHO AE4】SP72460 电机控制器｜120km/h+ 速度｜460A 相电流｜蓝牙｜一年质保","SP72460+风扇","847.28","https://cf.shopee.com.my/file/cn-11134207-820l4-mfc37p35j4ste9","http://shopee.com.my/product/1550471265/42372615304","摩托车零配件","其他的","IVCN2026051916585","'296838779436","缺少","P1","'12-30","'42372615304","847.28","","100-300美金","20-40单","高价品"
"1","正品 BU69 盘,SP 图案,茶色,直径 200 毫米。","带碟盘子 V2","828.27","https://cf.shopee.co.th/file/th-11134207-7rasc-m57dqud0vdti20","http://shopee.co.th/product/386149641/27523948045","摩托车零配件","制动系统","IVCN2026051914207","'237292767555","缺少","P1","'12-30","'27523948045","828.27","","100-300美金","20-40单","高价品"
"1","JVT CVT 适用于 XMAX","JVT638（XMAX）","773.7","https://cf.shopee.ph/file/ph-11134207-7ra0k-mbdj3ub5cwum4e","http://shopee.ph/product/41767931/29987939160","摩托车零配件","传动系统、变速器和离合器","IVCN2026051916143","'282026958211","缺少","P1","'12-30","'29987939160","773.7","","100-300美金","20-40单","高价品"
"1","HR Racing 为新款 Vespa 提供的轮毂是 CNC 加工轮毂。","银","748.86","https://cf.shopee.co.th/file/th-11134207-81ztj-mjvij9cfopvmba","http://shopee.co.th/product/95536271/51155257773","摩托车零配件","其他的","IVCN2026051918715","'435481056094","缺少","P1","'12-30","'51155257773","748.86","","100-300美金","20-40单","高价品"
"1","现货供应🇹🇭 Mio VND Racing AK47 铝合金轮毂,适用于 MIO 110/115 Fino","黑色的","748.12","https://cf.shopee.co.th/file/th-11134207-7ra0k-mcd7oy7hovgk71","http://shopee.co.th/product/1155577182/44107457641","摩托车零配件","车轮、轮辋及配件","IVCN2026051916843","'305706013616","缺少","P1","'12-30","'44107457641","748.12","","300-500美金","20-40单","高价品"
"1","JVT 曲柄 Aerox v1/v2 Nmax v2 5.6 带背板","JVT 曲柄 Aerox v1/v2 Nmax v2 5.6 带背板","733.28","https://cf.shopee.ph/file/ph-11134207-7ra0g-mbpcc7tuwhp350","http://shopee.ph/product/304073451/40207048440","摩托车零配件","传动系统、变速器和离合器","IVCN2026051915911","'275597868067","缺少","P1","'12-30","'40207048440","733.28","","80-100美金","20-40单","高价品"
"1","【货到付款】本地现货 FXTUL UNT60 燃油喷射器清洗机 汽车/摩托车燃油喷射器清洗检测仪 超声波清洗机 喷油器测试仪 双缸 220V","【货到付款】本地现货 FXTUL UNT60 燃油喷射器清洗机 汽车/摩托车燃油喷射器清洗检测仪 超声波清洗机 喷油器测试仪 双缸 220V","732.47","https://cf.shopee.ph/file/cn-11134207-820l4-mnnprasqpssoad","http://shopee.ph/product/599763146/17012953037","摩托车零配件","燃油系统","IVCN2026051911583","'160453839940","缺少","P1","'12-30","'17012953037","732.47","","100-300美金","20-40单","高价品"
"1","180/55-17 73W 普利司通 Battlax Hypersport S23,Riders 摩托车轮胎","180/55-17 73W 普利司通 Battlax Hypersport S23,Riders 摩托车轮胎","731.7","https://cf.shopee.ph/file/ph-11134207-7r991-lvzriz0n2ltw68","http://shopee.ph/product/127696734/25731559254","摩托车零配件","轮胎及配件","IVCN2026051912589","'197550490586","缺少","P1","'12-30","'25731559254","731.7","","100-300美金","20-40单","高价品"
"1","适用于Wave摩托车的CNC加工前后鼓式轮毂套装。包含适配器和所有必要的安装配件,包括不锈钢轮毂衬套、不锈钢螺母和刹车片。可直接安装。","前轮三辐轮毂套装 + 后轮全套轮毂","708.72","https://cf.shopee.co.th/file/th-11134207-7rasd-m9zv7yybivhtba","http://shopee.co.th/product/500298218/24934725199","摩托车零配件","车轮、轮辋及配件","IVCN2026051911093","'139372722144","缺少","P1","'12-30","'24934725199","708.72","","100-300美金","20-40单","高价品"
"1","HR Racing 为 Vespa Sprint Primavera 定制的轮毂。","铬合金","690.09","https://cf.shopee.co.th/file/th-11134207-81ztp-mme5mjrqng8w07","http://shopee.co.th/product/74517505/40129606349","摩托车零配件","车轮、轮辋及配件","IVCN2026051918341","'405701609505","缺少","P1","'12-30","'40129606349","690.09","","100-300美金","20-40单","高价品"
"1","ADELIN RC12 四活塞径向卡钳 100% 原装正品","电镀","683.98","https://cf.shopee.ph/file/ph-11134207-81ztj-mm4deegj3eo23f","http://shopee.ph/product/499343599/53657527307","摩托车零配件","制动系统","IVCN2026051917679","'360670207661","缺少","P1","'12-30","'53657527307","683.98","","80-100美金","20-40单","高价品"
"1","CHIGEE SR-1 摩托车雷达系统是 CHIGEE 公司推出的一款新型 77GHz 摩托车盲点检测雷达。","CHIGEE SR-1 摩托车雷达系统是 CHIGEE 公司推出的一款新型 77GHz 摩托车盲点检测雷达。","677.93","https://cf.shopee.co.th/file/th-11134207-81ztm-mngppanf708x44","http://shopee.co.th/product/1071212997/41630366518","其他的","#VALUE!","IVCN2026051910891","'129499382693","缺少","P1","'12-30","'41630366518","677.93","","100-300美金","20-40单","高价品"
"1","JPAD R5 摩托车射灯 5珠远近光切向超亮LED强光铺路射灯 黄白闪烁","R5-1","676.72","https://cf.shopee.ph/file/sg-11134201-825af-mfuztd4m0suj4c","http://shopee.ph/product/1064636235/27892976142","摩托车零配件","灯光","IVCN2026051916753","'301972816813","缺少","P1","'12-30","'27892976142","676.72","","80-100美金","20-40单","高价品"
"1","适用于 Proton Exora Preve Suprima S 1.6L S4PH CFE 的涡轮增压器,粗体 KP39 PW812548","277","645.63","https://cf.shopee.com.my/file/c873f9a902aba019932e7ddbc3a7951a","http://shopee.com.my/product/226872441/19825731449","摩托车零配件","其他的","IVCN2026051910593","'117102432837","缺少","P1","'12-30","'19825731449","645.63","","100-300美金","20-40单","高价品"
"1","Interkom Mesh Motosikal ASMAX F1 PRO 摩托车头盔网状对讲机 40mm 扬声器 降噪","亮灰色（促销）","639.63","https://cf.shopee.com.my/file/my-11134207-7rasi-m3hpyrfifc3l51","http://shopee.com.my/product/1379618266/26463914167","摩托车头盔及配件","","IVCN2026051911951","'176735366427","缺少","P1","'12-30","'26463914167","639.63","","100-300美金","20-40单","高价品"
"1","RS8 CVT变速箱套件适用于MIO 115、MIO i125/M3、NMAX/AEROX、CLICK125/150、ADV/PCX/CLICK160、BEAT FI等车型。","Nmax/Aerox v1、v2","636.63","https://cf.shopee.ph/file/ph-11134207-7ras8-m8vi8i88kostf3","http://shopee.ph/product/778107212/11298937093","摩托车零配件","传动系统、变速器和离合器","IVCN202605199681","'59517353181","缺少","P1","'12-30","'11298937093","636.63","","100-300美金","20-40单","高价品"
"1","Mahachai PCX160（2021-2025）专用排气管。改装/开放式侧排气,带隔热罩。Z 型颈部（可选带隔热罩或不带隔热罩）。直径 28-30-32mm。❤️即使是原厂车型也适用。","62-63 号尺寸没有隔热保护；烤架是敞开的。","635.57","https://cf.shopee.co.th/file/th-11134207-81ztj-mfyv3rvwho2556","http://shopee.co.th/product/168521652/27033926323","摩托车零配件","尾气和排放","IVCN202508275849","'307014215345","缺少","P1","'12-30","'27033926323","635.57","","100-300美金","20-40单","高价品"
"2","MachSquared 高级版 2 年保修","4升 5安时","261.87","https://cf.shopee.ph/file/ph-11134207-81ztm-mgsrvjevdhcae1","http://shopee.ph/product/353289953/41870312572","摩托车配件","其他的","IVCN202603175077","'286676549198","缺少","P1","'12-30","'41870312572","633","","40-60美金","20-40单","高价品"
"2","MachSquared 高级版 2 年保修","14升超级X","633","https://cf.shopee.ph/file/ph-11134207-81ztd-mfc7scnlvc3t8b","http://shopee.ph/product/353289953/41870312572","摩托车配件","其他的","IVCN202603175077","'296679586886","缺少","P1","'12-30","'41870312572","633","","100-300美金","20-40单","高价品"
"2","Kenochi Power Pipe - 印尼制造,不锈钢材质,符合街道法规 - 适用于 Mio/NMAX/PCX/Aerox/Click","K2 V1 黑色,点击 125/150","413.33","https://cf.shopee.ph/file/ph-11134207-7rasm-m4zimyy7h6oq40","http://shopee.ph/product/1446111711/27022969344","摩托车零配件","尾气和排放","IVCN2026051915745","'270272387889","缺少","P1","'12-30","'27022969344","629.18","","300-500美金","20-40单","高价品"
"2","Kenochi Power Pipe - 印尼制造,不锈钢材质,符合街道法规 - 适用于 Mio/NMAX/PCX/Aerox/Click","K2 V1 黑色,Mio i 125 / M3","374.9","https://cf.shopee.ph/file/ph-11134207-7rasm-m4zimyy7h6oq40","http://shopee.ph/product/1446111711/27022969344","摩托车零配件","尾气和排放","IVCN2026051915745","'270272387893","缺少","P1","'12-30","'27022969344","629.18","","100-300美金","20-40单","高价品"
"2","KOU Mahachai 排气管适用于 Giorno/Pcx160/Lead（带 TIS 认证） - 改装为隐藏式或开放式网状排气,原厂发动机 - 66mm 孔径。","Giorno63打开了烤架。","625.5","https://cf.shopee.co.th/file/th-11134207-81ztj-mmklno2e9czm78","http://shopee.co.th/product/34580050/40079674403","摩托车零配件","尾气和排放","IVCN2026051912685","'198819075162","缺少","P1","'12-30","'40079674403","625.5","","80-100美金","20-40单","高价品"
"2","KOU Mahachai 排气管适用于 Giorno/Pcx160/Lead（带 TIS 认证） - 改装为隐藏式或开放式网状排气,原厂发动机 - 66mm 孔径。","Giorno60 设有开放式烤架。","535.93","https://cf.shopee.co.th/file/th-11134207-81ztj-mmklnfzqj0na75","http://shopee.co.th/product/34580050/40079674403","摩托车零配件","尾气和排放","IVCN2026051912685","'198819075164","缺少","P1","'12-30","'40079674403","625.5","","60-80美金","20-40单","高价品"
"1","W125 直通排气管 66/5（气缸盖 + CNC 活塞 + 钛合金活塞 + 扭力齿轮 + 正时链条）完整的气缸盖组件（对于 67 套件,气缸盖需要镗孔）。","66mm螺栓,15mm气门室盖,CNC加工。","625.38","https://cf.shopee.co.th/file/th-11134207-7rasg-m59qtfqwjrjeb8","http://shopee.co.th/product/735168598/29774132504","摩托车零配件","尾气和排放","IVCN2026021170269","'247516166471","缺少","P1","'12-30","'29774132504","625.38","","80-100美金","20-40单","高价品"
"1","Mtrt Sp2 罐（黑色）- 通用型罐体（仅限罐体）","仅限罐体","625.35","https://cf.shopee.ph/file/ph-11134207-7rasd-m4d2jayy6bqxb3","http://shopee.ph/product/162075353/28322074733","摩托车零配件","尾气和排放","IVCN2026051911073","'139194527191","缺少","P1","'12-30","'28322074733","625.35","","100-300美金","20-40单","高价品"
"1","FUTURE EYES X80 新款聚光灯,120 瓦,正品,FUTURE EYES THAILAND 提供 1 年保修。","FUTURE EYES X80 新款聚光灯,120 瓦,正品,FUTURE EYES THAILAND 提供 1 年保修。","610.32","https://cf.shopee.co.th/file/th-11134207-7ra0l-mbneedd34vwka1","http://shopee.co.th/product/155664611/25895724676","摩托车零配件","灯光","IVCN2026051916675","'300525645784","缺少","P1","'12-30","'25895724676","610.32","","100-300美金","20-40单","高价品"
"1","卡多包装谈话特别版","卡多包装谈话特别版","607.11","https://cf.shopee.com.my/file/th-11134207-81ztn-mmn0nde3q3nqef","http://shopee.com.my/product/1747574331/50258224192","其他的","#VALUE!","IVCN2026051918061","'385730856339","缺少","P1","'12-30","'50258224192","607.11","","100-300美金","20-40单","高价品"
"1","DT125MX-DT175 铝合金后摇臂","V2（数控）","605.68","https://cf.shopee.ph/file/th-11134207-81ztp-mlbx5bf6ugat9f","http://shopee.ph/product/1598517527/40030095300","摩托车零配件","其他的","IVCN2026051917093","'315787334854","缺少","P1","'12-30","'40030095300","605.68","","100-300美金","20-40单","高价品"
"1","MFZ主缸,15mm活塞,铸造结构,含刹车油管。❗️免费赠送刹车油壶❗️","长茎","603.28","https://cf.shopee.co.th/file/th-11134207-81zte-mepjc2sy6fwn56","http://shopee.co.th/product/181683728/43769184981","摩托车零配件","制动系统","IVCN2026051918489","'420261883941","缺少","P1","'12-30","'43769184981","603.28","","100-300美金","20-40单","高价品"
"1","CST CM S3N 轮胎,尺寸 120、160、180、190、200,17 英寸轮辋,2025/2026 年生产,全新胎面花纹,适用于 CBR650。","120/70-17+180/55-17","599.79","https://cf.shopee.co.th/file/th-11134207-7rasg-m9g3913pibk91b","http://shopee.co.th/product/201477729/23835049662","摩托车零配件","轮胎及配件","IVCN2026021164819","'330797347534","缺少","P1","'12-30","'23835049662","599.79","","100-300美金","20-40单","高价品"
"1","AJ LIGHT DESIGN RGB 尾灯 XMAX V2 V3","AJ LIGHT DESIGN RGB 尾灯 XMAX V2 V3","599.42","https://cf.shopee.ph/file/sg-11134201-821e9-mgok0mak2ayy71","http://shopee.ph/product/727966069/41175855626","摩托车零配件","灯光","IVCN2026051917927","'380020661344","缺少","P1","'12-30","'41175855626","599.42","","80-100美金","20-40单","高价品"
"2","倍耐力黄标轮胎,Diablo Rosso Scooter SC 型号 - XMAX FORZA 顶级型号。","前后对","592.13","https://cf.shopee.co.th/file/sg-11134201-824jk-melppt53xhxc29","http://shopee.co.th/product/951949747/28362796980","摩托车零配件","轮胎及配件","IVCN2026051911953","'176738926078","缺少","P1","'12-30","'28362796980","592.13","","300-500美金","20-40单","高价品"
"2","倍耐力黄标轮胎,Diablo Rosso Scooter SC 型号 - XMAX FORZA 顶级型号。","140/70-14","294.07","https://cf.shopee.co.th/file/sg-11134201-824jk-melppt53xhxc29","http://shopee.co.th/product/951949747/28362796980","摩托车零配件","轮胎及配件","IVCN2026051911953","'251697080673","缺少","P1","'12-30","'28362796980","592.13","","60-80美金","20-40单","高价品"
"1","🔥黄标轮胎🔥 倍耐力 ROSSO SCOOTER SC 轮胎,适用于 XMAX300 / FORZA300-350 / ADV350 / ZONTES。快速发货！","120/70-15 140/70-14","592.13","https://cf.shopee.co.th/file/th-11134207-81zto-mlbz1sgkmps4fa","http://shopee.co.th/product/1017752746/28258615915","摩托车零配件","轮胎及配件","IVCN2026051914357","'241429106460","缺少","P1","'12-30","'28258615915","592.13","","100-300美金","20-40单","高价品"
"1","Yumaaa 3K TTS 电机,双芯片版本,12 英寸轮辋,适用于所有电动自行车。","12英寸轮毂","587.83","https://cf.shopee.vn/file/vn-11134207-81ztc-mn5bdahrbmyscb","http://shopee.vn/product/1403090905/54408984066","摩托车零配件","轮胎及配件","IVCN2026051917615","'355796758391","缺少","P1","'12-30","'54408984066","587.83","","100-300美金","20-40单","高价品"
"1","⚠️现货⚠️ KX 643 化油器,正品💯,28mm开口。","⚠️现货⚠️ KX 643 化油器,正品💯,28mm开口。","583.47","https://cf.shopee.co.th/file/th-11134207-7qula-lhq1fwg22g83a0","http://shopee.co.th/product/424474750/8955147540","摩托车零配件","燃油系统","IVCN2026051910313","'100226238101","缺少","P1","'12-30","'8955147540","583.47","","100-300美金","20-40单","高价品"
"3","矢崎THW 16电线,剪至电表处。","20米","45.76","https://cf.shopee.co.th/file/th-11134207-81ztl-mihi6j41jvnr80","http://shopee.co.th/product/1651405852/52353395001","摩托车零配件","电缆和管材","IVCN2026051917869","'375325623711","缺少","P1","'12-30","'52353395001","575.9","","40-60美金","20-40单","高价品"
"3","矢崎THW 16电线,剪至电表处。","25米","280.32","https://cf.shopee.co.th/file/th-11134207-81ztl-mihi6j41jvnr80","http://shopee.co.th/product/1651405852/52353395001","摩托车零配件","电缆和管材","IVCN2026051917869","'375325623712","缺少","P1","'12-30","'52353395001","575.9","","40-60美金","20-40单","高价品"
"3","矢崎THW 16电线,剪至电表处。","50米","575.9","https://cf.shopee.co.th/file/th-11134207-81ztl-mihi6j41jvnr80","http://shopee.co.th/product/1651405852/52353395001","摩托车零配件","电缆和管材","IVCN2026051917869","'375325623714","缺少","P1","'12-30","'52353395001","575.9","","80-100美金","20-40单","高价品"
"1","Kamui 2-Tone 摇臂 Giorno+125","黑色、银色、清新","573.99","https://cf.shopee.co.th/file/th-11134207-7ra0l-mdocuiros4mq2e","http://shopee.co.th/product/52513201/41614311848","摩托车配件","其他的","IVCN2026041054879","'259028435650","缺少","P1","'12-30","'41614311848","573.99","","80-100美金","20-40单","高价品"
"1","正品 Brembo 4 活塞刹车总泵,左右各一个,黑/灰色,100% 正品,带包装盒。","右灰色","572.54","https://cf.shopee.co.th/file/th-11134207-23020-jzadv1u2gxnv1e","http://shopee.co.th/product/326088174/8903736246","摩托车零配件","制动系统","IVCN2026051912079","'180971296503","缺少","P1","'12-30","'8903736246","572.54","","100-300美金","20-40单","高价品"
"1","适用于老款 Wave 125 型号的旅行油箱,包括化油器式和燃油喷射式。","注射器","566.66","https://cf.shopee.co.th/file/th-11134207-7rasa-m6gzlsk7w27jff","http://shopee.co.th/product/299017401/26676841272","摩托车零配件","燃油系统","IVCN2026051913255","'215803763099","缺少","P1","'12-30","'26676841272","566.66","","60-80美金","20-40单","高价品"
"2","Bom X Star Mags [即插即用,适用于 Aerox V3 和 Nmax V2]","黑色的","492.32","https://cf.shopee.ph/file/ph-11134207-81ztf-mk67o3hn3htxbb","http://shopee.ph/product/1457550610/45505693873","摩托车零配件","车轮、轮辋及配件","IVCN2026051918631","'430514012872","缺少","P1","'12-30","'45505693873","559.78","","60-80美金","20-40单","高价品"
"2","Bom X Star Mags [即插即用,适用于 Aerox V3 和 Nmax V2]","银","559.78","https://cf.shopee.ph/file/ph-11134207-81ztl-mk67obaw85xca7","http://shopee.ph/product/1457550610/45505693873","摩托车零配件","车轮、轮辋及配件","IVCN2026051918631","'430514012874","缺少","P1","'12-30","'45505693873","559.78","","100-300美金","20-40单","高价品"
"1","正品 HSM Turtle Pump SL6061 / SL7075,最新型号。","最新款SL6061。","553.27","https://cf.shopee.co.th/file/th-11134207-81zti-mmg876fwlb7k44","http://shopee.co.th/product/386149641/40104414958","摩托车零配件","制动系统","IVCN2026051918657","'430707821461","缺少","P1","'12-30","'40104414958","553.27","","80-100美金","20-40单","高价品"
"2","【促销】ZEEHO AE4 控制器 SP72300PRO｜即插即用｜90公里/小时以上速度｜300A 相电流｜一年换新","SP72300Pro","464.99","https://cf.shopee.com.my/file/cn-11134207-7ras8-manxwvk2mix1e0","http://shopee.com.my/product/1550471265/44153456654","摩托车零配件","其他的","IVCN2026041047069","'275287028821","缺少","P1","'12-30","'44153456654","549.83","","80-100美金","20-40单","高价品"
"1","正品本田 Forza 350（2023 款）尾灯,零件号 33700-K1B-T21。","正品 Forza 350 T21 零件。","548.74","https://cf.shopee.co.th/file/th-11134207-7ra0k-mc36114rv4g015","http://shopee.co.th/product/86215348/40658255675","摩托车零配件","灯光","IVCN2026051915767","'270695433738","缺少","P1","'12-30","'40658255675","548.74","","80-100美金","20-40单","高价品"
"2","RXZ CNC减震器支架,安装简便🔥🔥👍👍 简单","仅支架","294.24","https://cf.shopee.com.my/file/my-11134207-7r98o-lkrve36s41874b","http://shopee.com.my/product/349327445/22021499342","摩托车零配件","车身及车架","IVCN2026051913177","'214528775197","缺少","P1","'12-30","'22021499342","546","","60-80美金","20-40单","高价品"
"2","RXZ CNC减震器支架,安装简便🔥🔥👍👍 简单","完整阻尼器 cf","546","https://cf.shopee.com.my/file/my-11134207-7r98o-lkrve36s5fsnf2","http://shopee.com.my/product/349327445/22021499342","摩托车零配件","车身及车架","IVCN2026051913177","'214528775198","缺少","P1","'12-30","'22021499342","546","","60-80美金","20-40单","高价品"
"6","雅马哈 XMAX XMAX250 v1/v2/v3 6 寸原装锻造 CNC 合金轮毂,高级款","红色的","534.54","https://cf.shopee.com.my/file/my-11134207-7rasj-mbt87yr9eaquc2","http://shopee.com.my/product/230894337/19652728549","摩托车零配件","车轮、轮辋及配件","IVCN2026051913109","'212650572875","缺少","P1","'12-30","'19652728549","534.6","","100-300美金","20-40单","高价品"
"6","雅马哈 XMAX XMAX250 v1/v2/v3 6 寸原装锻造 CNC 合金轮毂,高级款","蓝色的","534.48","https://cf.shopee.com.my/file/my-11134207-7rasa-mbt882rtir4953","http://shopee.com.my/product/230894337/19652728549","摩托车零配件","车轮、轮辋及配件","IVCN2026051913109","'212650572876","缺少","P1","'12-30","'19652728549","534.6","","100-300美金","20-40单","高价品"
"6","雅马哈 XMAX XMAX250 v1/v2/v3 6 寸原装锻造 CNC 合金轮毂,高级款","亮紫色","534.48","https://cf.shopee.com.my/file/my-11134207-820lf-mndy4dspua6g9a","http://shopee.com.my/product/230894337/19652728549","摩托车零配件","车轮、轮辋及配件","IVCN2026051913109","'212650572877","缺少","P1","'12-30","'19652728549","534.6","","100-300美金","20-40单","高价品"
"6","雅马哈 XMAX XMAX250 v1/v2/v3 6 寸原装锻造 CNC 合金轮毂,高级款","灰色的","534.48","https://cf.shopee.com.my/file/my-11134207-7rasa-mbt887cmtkg98f","http://shopee.com.my/product/230894337/19652728549","摩托车零配件","车轮、轮辋及配件","IVCN2026051913109","'212650572879","缺少","P1","'12-30","'19652728549","534.6","","60-80美金","20-40单","高价品"
"6","雅马哈 XMAX XMAX250 v1/v2/v3 6 寸原装锻造 CNC 合金轮毂,高级款","哑光紫","534.48","https://cf.shopee.com.my/file/my-11134207-820l5-mndy3flt7w9279","http://shopee.com.my/product/230894337/19652728549","摩托车零配件","车轮、轮辋及配件","IVCN2026051913109","'248103094016","缺少","P1","'12-30","'19652728549","534.6","","100-300美金","20-40单","高价品"
"6","雅马哈 XMAX XMAX250 v1/v2/v3 6 寸原装锻造 CNC 合金轮毂,高级款","银","534.6","https://cf.shopee.com.my/file/my-11134207-7rasd-mbt88l9ggo9yef","http://shopee.com.my/product/230894337/19652728549","摩托车零配件","车轮、轮辋及配件","IVCN2026051913109","'275629253420","缺少","P1","'12-30","'19652728549","534.6","","100-300美金","20-40单","高价品"
"239","Brembo双活塞侧装式刹车卡钳,黑色,带红色标志,含刹车片。100%原装正品。适用于所有Vespa车型。（订购前请咨询。）","Brembo双活塞侧装式刹车卡钳,黑色,带红色标志,含刹车片。100%原装正品。适用于所有Vespa车型。（订购前请咨询。）","523.12","https://cf.shopee.co.th/file/th-11134207-7r98o-lurj2rlr7kfi75","http://shopee.co.th/product/1120050117/24477665523","摩托车零配件","制动系统","#N/A","'226287223365","缺少","P1","'12-30","'24477665523","523.12","","100-300美金","20-40单","高价品"
"1","JVT PIPE V3 可调式 PCX/NMAX/AEROX/ADV/CLICK/M3/MIO/CLICK - 免费隔热罩和螺栓","NMAX/AEROX V2,隔热罩和螺栓","35.63","https://cf.shopee.ph/file/ph-11134207-81zte-mhmqgurrb2f5a3","http://shopee.ph/product/915352500/10799557785","摩托车零配件","尾气和排放","IVCN2026051912949","'206974562147","缺少","P1","'12-30","'10799557785","521.71","","300-500美金","20-40单","高价品"
"1","VIMOTO V11X XR V10X V10S 摩托车头盔蓝牙耳机单元","V11X","520.2","https://cf.shopee.com.my/file/sg-11134201-81zwh-mmvpshye4phg96","http://shopee.com.my/product/1725397433/40478021310","摩托车头盔及配件","","IVCN2026051917765","'365759238027","缺少","P1","'12-30","'40478021310","520.2","","100-300美金","20-40单","高价品"
"1","正品 MFZ 甲虫造型高跟鞋,100% 正品,限量版配色,白色标志,6 个月保修。","烟熏棕色","516.92","https://cf.shopee.co.th/file/th-11134207-7ra0h-mbv9mycefc7wbe","http://shopee.co.th/product/1374293218/40757558600","摩托车零配件","制动系统","IVCN2026051916071","'280642435174","缺少","P1","'12-30","'40757558600","516.92","","100-300美金","20-40单","高价品"
